id,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,ProdTaken,married,car_possession,offspring,offspring_identified
0,50.0,Self Enquiry,2,15.0,largebusiness,MALE,1.0,4.0,basic,3.0,5.0,1,4,executive,253905.0,1.0,未婚,車あり,0,0
1,56.0,Company Invited,1,14.0,salaried,MALE,1.0,4.0,standard,3.0,2.0,1,4,seniormanager,404475.0,0.0,離婚済み,車なし,0,0
2,,Self Enquiry,1,10.0,largebusiness,FEMALE,1.0,3.0,basic,3.0,4.0,0,4,executive,278145.0,1.0,結婚済み,車あり,0,0
3,37.0,Self Enquiry,2,18.0,smallbusiness,FEMALE,1.0,3.0,standard,4.0,1.0,0,5,seniormanager,326805.0,0.0,離婚済み,車なし,0,0
4,48.0,Company Invited,3,17.0,smallbusiness,FEMALE,1.0,3.0,basic,4.0,4.0,0,4,executive,258435.0,1.0,独身,車なし,0,0
5,19.0,Self Enquiry,2,16.0,smallbusiness,MALE,1.0,3.0,basic,3.0,2.0,0,4,executive,260000.0,0.0,独身,車あり,0,0
6,47.0,Company Invited,3,14.0,smallbusiness,MALE,1.0,3.0,superdeluxe,4.0,1.0,0,4,avp,453180.0,0.0,独身,車なし,0,0
7,49.0,Self Enquiry,2,22.0,smallbusiness,MALE,1.0,3.0,basic,3.0,2.0,0,4,executive,261900.0,0.0,結婚済み,車あり,0,0
8,33.0,Company Invited,2,20.0,largebusiness,FEMALE,1.0,3.0,basic,3.0,4.0,0,4,executive,247800.0,1.0,独身,車あり,0,0
9,31.0,Company Invited,1,11.0,largebusiness,MALE,1.0,3.0,basic,3.0,2.0,0,3,seniormanager,257610.0,0.0,結婚済み,車なし,0,0
10,51.0,Company Invited,1,14.0,smallbusiness,FEMALE,1.0,3.0,standard,3.0,4.0,0,3,seniormanager,351900.0,0.0,未婚,車なし,0,0
