Age,CityTier,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,MonthlyIncome,offspring,offspring_identified,TypeofContact_Self Enquiry,Occupation_salaried,Occupation_smallbusiness,Gender_MALE,ProductPitched_deluxe,ProductPitched_king,ProductPitched_standard,ProductPitched_superdeluxe,Designation_executive,Designation_manager,Designation_seniormanager,Designation_vp,married_独身,married_結婚済み,married_離婚済み,car_possession_車なし,Cluster,ProdTaken
50.0,2,15.0,1.0,4.0,3.0,5.0,1,4,253905.0,0,0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,2,1
56.0,1,14.0,1.0,4.0,3.0,2.0,1,4,404475.0,0,0,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,3,0
39.3096536477524,1,10.0,1.0,3.0,3.0,4.0,0,4,278145.0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,2,1
37.0,2,18.0,1.0,3.0,4.0,1.0,0,5,326805.0,0,0,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,3,0
48.0,3,17.0,1.0,3.0,4.0,4.0,0,4,258435.0,0,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,2,1
19.0,2,16.0,1.0,3.0,3.0,2.0,0,4,260000.0,0,0,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,2,0
47.0,3,14.0,1.0,3.0,4.0,1.0,0,4,453180.0,0,0,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,0,0
49.0,2,22.0,1.0,3.0,3.0,2.0,0,4,261900.0,0,0,True,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,2,0
33.0,2,20.0,1.0,3.0,3.0,4.0,0,4,247800.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,2,1
31.0,1,11.0,1.0,3.0,3.0,2.0,0,3,257610.0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,3,0
51.0,1,14.0,1.0,3.0,3.0,4.0,0,3,351900.0,0,0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,3,0
46.0,1,16.0,1.0,3.0,4.0,6.0,0,3,416430.0,0,0,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,0,0
49.0,1,32.0,1.0,3.0,3.0,4.0,0,3,477555.0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,0,0
51.0,2,17.0,1.0,3.0,4.0,5.0,0,4,440000.0,0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,0,0
53.0,2,14.0,1.0,3.0,3.0,1.0,0,3,300000.0,0,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,2,1
20.0,1,24.0,1.0,3.0,3.0,2.0,0,4,253665.0,0,0,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,2,1
25.0,2,23.0,1.0,3.0,3.0,1.0,0,3,258600.0,0,0,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,2,1
53.0,2,35.0,1.0,3.0,3.0,4.0,0,3,500000.0,0,0,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,0,1
25.0,2,7.0,1.0,3.0,3.0,1.0,1,3,400000.0,0,0,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,3,0
44.0,2,5.0,1.0,3.0,3.0,1.0,1,4,286245.0,0,0,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,0,0
30.0,1,8.0,1.0,3.0,3.0,2.0,0,3,455250.0,0,0,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,3,0
34.0,2,16.0,1.0,3.0,3.0,2.0,0,4,263715.0,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,2,0
29.0,1,8.0,1.0,3.0,3.0,1.0,0,3,262725.0,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,2,1
56.0,2,15.0,1.0,3.0,3.0,1.0,0,3,431265.0,0,0,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,0,0
35.0,2,16.0,1.0,3.0,3.0,2.0,0,4,250275.0,0,0,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,True,2,0
41.0,2,14.46639904846863,1.0,3.0,3.0,1.0,0,4,303345.0,0,0,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,1,0
39.3096536477524,1,14.46639904846863,1.0,3.0,3.0,1.0,0,4,256845.0,0,0,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,1,0
55.0,1,14.0,1.0,3.0,3.0,2.0,0,3,368940.0,0,0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,3,0
52.0,1,17.0,1.0,3.0,3.0,4.0,0,3,456405.0,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,0,0
22.0,2,10.0,1.0,3.0,3.0,1.0,0,4,258885.0,0,0,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,2,1
36.0,2,15.0,1.0,3.0,3.0,1.0,1,3,316680.0,0,0,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,1,0
52.0,3,32.0,1.0,3.0,3.0,2.0,1,5,500000.0,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,0,0
46.0,3,8.0,1.0,3.0,3.0,5.0,1,4,359730.0,0,0,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,3,0
30.0,2,15.0,1.0,3.0,3.0,2.0,1,3,410000.0,0,0,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,3,0
28.0,1,9.0,1.0,3.0,3.0,5.0,1,3,270000.0,0,0,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,2,0
25.0,2,14.0,1.0,3.0,3.0,2.0,1,4,255405.0,0,0,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,2,1
51.0,1,26.0,1.0,4.0,3.0,1.0,0,2,485055.0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,0,0
50.0,3,13.0,1.0,4.0,4.0,5.0,0,1,370000.0,0,0,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,3,0
48.0,1,12.0,1.0,4.0,3.0,2.0,0,1,401775.0,0,0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,3,0
55.0,1,8.0,1.0,5.0,3.0,4.0,0,3,477000.0,0,0,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,3,0
38.0,2,14.0,1.0,3.0,3.0,1.0,0,2,378210.0,0,0,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,3,1
33.0,2,14.0,1.0,3.0,3.0,2.0,0,2,248490.0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,2,1
42.0,2,10.0,1.0,3.0,3.0,2.0,0,2,268440.0,0,0,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,1,0
55.0,2,21.0,1.0,3.0,3.0,1.0,0,2,362580.0,0,0,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,3,0
33.0,1,14.46639904846863,1.0,3.0,3.0,1.0,0,1,282075.0,0,0,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,1,0
35.0,1,13.0,1.0,3.0,4.0,1.0,0,1,356760.0,0,0,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,3,0
59.0,2,8.0,1.0,3.0,3.0,1.0,0,2,364980.0,0,0,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,3,0
43.0,2,14.0,1.0,3.0,3.0,5.0,0,2,350310.0,0,0,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,3,0
32.0,2,25.0,1.0,4.0,3.0,3.0,0,2,429570.0,0,0,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,3,1
47.0,1,15.0,1.0,3.0,3.0,1.0,0,1,272475.0,0,0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,2,0
42.0,2,16.0,1.0,3.0,3.0,2.0,0,1,273840.0,0,0,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,2,0
53.0,1,12.0,1.0,3.0,3.0,1.0,0,1,372150.0,0,0,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,3,0
56.0,1,11.0,1.0,3.0,4.0,5.0,0,1,462615.0,0,0,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,0,0
33.0,1,11.0,1.0,3.0,3.0,5.0,0,2,345690.0,0,0,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,3,0
58.0,1,14.0,1.0,3.0,3.0,4.0,0,1,397245.0,0,0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,1,0
33.0,2,16.0,1.0,3.0,3.0,5.0,0,2,297855.0,0,0,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,1,0
32.0,1,9.0,1.0,3.0,3.0,1.0,0,1,269895.0,0,0,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,2,0
50.0,2,16.0,1.0,3.0,4.0,5.0,1,1,427050.0,0,0,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,3,1
45.0,1,14.0,1.0,3.0,3.0,2.0,1,1,418080.0,0,0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,3,0
26.0,2,17.0,1.0,3.0,3.0,2.0,1,2,264615.0,0,0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,2,1
47.0,2,15.0,1.0,3.0,3.0,2.0,1,1,415545.0,0,0,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,3,0
47.0,2,10.0,1.0,3.0,3.0,1.0,1,2,258915.0,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,2,1
52.0,2,16.0,1.0,3.0,4.0,5.0,0,1,507870.0,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,0,0
29.0,2,13.0,1.0,5.0,3.0,7.0,0,1,303960.0,0,0,False,False,True,True,True,False,False,False,False,True,False,False,False,False,True,False,1,0
44.0,2,7.0,1.0,5.0,3.0,1.0,0,2,309645.0,0,0,True,False,True,True,True,False,False,False,False,True,False,False,False,True,False,False,1,0
54.0,1,12.0,2.0,4.0,3.0,2.0,0,1,400000.0,0,0,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,True,3,0
51.0,2,7.0,2.0,4.0,3.0,3.0,0,2,479610.0,0,0,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,0,0
59.0,1,13.0,2.0,4.0,3.0,4.0,0,1,463050.0,0,0,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,0,0
25.0,1,7.0,2.0,4.0,3.0,2.0,0,2,270735.0,0,0,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,2,0
29.0,1,15.0,2.0,4.0,3.0,5.0,0,2,263865.0,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,2,0
21.0,2,13.0,2.0,4.0,3.0,3.0,0,2,316770.0,0,0,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,2,1
56.0,1,10.0,2.0,4.0,3.0,6.0,0,1,400000.0,0,0,True,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,0,0
55.0,3,6.0,2.0,4.0,3.0,4.0,0,2,358935.0,0,0,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,3,0
57.0,1,8.0,2.0,4.0,3.0,2.0,0,2,263010.0,0,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,2,0
37.0,1,13.0,2.0,4.0,4.0,7.0,0,2,273900.0,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,2,1
25.0,1,13.0,2.0,4.0,3.0,2.0,0,2,257295.0,0,0,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,2,0
53.0,2,14.0,2.0,4.0,4.0,5.0,0,2,438195.0,0,0,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,3,0
35.0,1,8.0,2.0,4.0,3.0,2.0,0,1,267480.0,0,0,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,True,2,0
35.0,3,12.0,2.0,4.0,4.0,1.0,0,2,438210.0,0,0,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,3,0
36.0,1,11.0,2.0,4.0,3.0,2.0,0,2,371820.0,0,0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,3,0
36.0,3,18.0,2.0,5.0,3.0,1.0,0,1,300000.0,0,0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,3,0
38.0,2,5.0,2.0,4.0,3.0,5.0,0,2,410000.0,0,0,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,3,0
49.0,3,15.0,2.0,4.0,4.0,2.0,0,1,370000.0,0,0,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,3,0
37.0,1,31.0,2.0,4.0,3.0,2.0,0,1,393705.0,0,0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,3,0
50.0,2,14.0,2.0,4.0,3.0,5.0,1,2,263730.0,0,0,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,2,1
