id,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,ProdTaken,married,car_possession,offspring,offspring_identified
0,50.0,1,1,15.0,0,1,1.0,4.0,0,0,5.0,1,3,1,253905.0,1.0,0,0,0,0
1,56.0,0,0,14.0,1,1,1.0,4.0,3,0,2.0,1,3,3,404475.0,0.0,3,1,0,0
2,,1,0,10.0,0,0,1.0,3.0,0,0,4.0,0,3,1,278145.0,1.0,2,0,0,0
3,37.0,1,1,18.0,2,0,1.0,3.0,3,1,1.0,0,4,3,326805.0,0.0,3,1,0,0
4,48.0,0,2,17.0,2,0,1.0,3.0,0,1,4.0,0,3,1,258435.0,1.0,1,1,0,0
5,19.0,1,1,16.0,2,1,1.0,3.0,0,0,2.0,0,3,1,260000.0,0.0,1,0,0,0
6,47.0,0,2,14.0,2,1,1.0,3.0,4,1,1.0,0,3,0,453180.0,0.0,1,1,0,0
7,49.0,1,1,22.0,2,1,1.0,3.0,0,0,2.0,0,3,1,261900.0,0.0,2,0,0,0
8,33.0,0,1,20.0,0,0,1.0,3.0,0,0,4.0,0,3,1,247800.0,1.0,1,0,0,0
9,31.0,0,0,11.0,0,1,1.0,3.0,0,0,2.0,0,2,3,257610.0,0.0,2,1,0,0
10,51.0,0,0,14.0,2,0,1.0,3.0,3,0,4.0,0,2,3,351900.0,0.0,0,1,0,0
11,46.0,1,0,16.0,2,1,1.0,3.0,4,1,6.0,0,2,0,416430.0,0.0,3,1,0,0
12,49.0,0,0,32.0,2,0,1.0,3.0,4,0,4.0,0,2,0,477555.0,0.0,1,1,0,0
13,51.0,1,1,17.0,2,0,1.0,3.0,4,1,5.0,0,3,0,440000.0,0.0,2,1,0,0
14,53.0,0,1,14.0,2,0,1.0,3.0,0,0,1.0,0,2,1,300000.0,1.0,1,1,0,0
15,20.0,1,0,24.0,2,0,1.0,3.0,0,0,2.0,0,3,1,253665.0,1.0,1,1,0,0
16,25.0,0,1,23.0,2,1,1.0,3.0,0,0,1.0,0,2,1,258600.0,1.0,1,0,0,0
17,53.0,1,1,35.0,2,1,1.0,3.0,4,0,4.0,0,2,0,500000.0,1.0,0,1,0,0
18,25.0,0,1,7.0,2,0,1.0,3.0,3,0,1.0,1,2,3,400000.0,0.0,2,0,0,0
19,44.0,0,1,5.0,2,1,1.0,3.0,4,0,1.0,1,3,0,286245.0,0.0,2,0,0,0
20,30.0,1,0,8.0,1,0,1.0,3.0,3,0,2.0,0,2,3,455250.0,0.0,0,0,0,0
21,34.0,0,1,16.0,1,0,1.0,3.0,0,0,2.0,0,3,1,263715.0,0.0,3,1,0,0
22,29.0,0,0,8.0,1,0,1.0,3.0,0,0,1.0,0,2,1,262725.0,1.0,3,0,0,0
23,56.0,0,1,15.0,1,1,1.0,3.0,4,0,1.0,0,2,0,431265.0,0.0,2,1,0,0
24,35.0,1,1,16.0,1,1,1.0,3.0,0,0,2.0,0,3,1,250275.0,0.0,3,1,0,0
25,41.0,0,1,,1,1,1.0,3.0,1,0,1.0,0,3,2,303345.0,0.0,2,0,0,0
26,,1,0,,1,0,1.0,3.0,1,0,1.0,0,3,2,256845.0,0.0,1,1,0,0
27,55.0,0,0,14.0,1,0,1.0,3.0,3,0,2.0,0,2,3,368940.0,0.0,0,1,0,0
28,52.0,1,0,17.0,1,0,1.0,3.0,4,0,4.0,0,2,0,456405.0,0.0,2,1,0,0
29,22.0,1,1,10.0,1,1,1.0,3.0,0,0,1.0,0,3,1,258885.0,1.0,1,0,0,0
30,36.0,0,1,15.0,1,0,1.0,3.0,1,0,1.0,1,2,2,316680.0,0.0,2,0,0,0
31,52.0,1,2,32.0,1,0,1.0,3.0,4,0,2.0,1,4,0,500000.0,0.0,3,1,0,0
32,46.0,0,2,8.0,1,1,1.0,3.0,3,0,5.0,1,3,3,359730.0,0.0,0,1,0,0
33,30.0,0,1,15.0,1,0,1.0,3.0,3,0,2.0,1,2,3,410000.0,0.0,2,0,0,0
34,28.0,1,0,9.0,1,0,1.0,3.0,0,0,5.0,1,2,1,270000.0,0.0,1,0,0,0
35,25.0,1,1,14.0,1,1,1.0,3.0,0,0,2.0,1,3,1,255405.0,1.0,1,1,0,0
36,51.0,0,0,26.0,2,0,1.0,4.0,4,0,1.0,0,1,0,485055.0,0.0,1,1,0,0
37,50.0,1,2,13.0,1,0,1.0,4.0,3,1,5.0,0,0,3,370000.0,0.0,0,0,0,0
38,48.0,0,0,12.0,1,0,1.0,4.0,3,0,2.0,0,0,3,401775.0,0.0,0,1,0,0
39,55.0,0,0,8.0,2,0,1.0,5.0,3,0,4.0,0,2,3,477000.0,0.0,2,1,0,0
40,38.0,0,1,14.0,1,1,1.0,3.0,3,0,1.0,0,1,3,378210.0,1.0,2,0,0,0
41,33.0,1,1,14.0,0,0,1.0,3.0,0,0,2.0,0,1,1,248490.0,1.0,1,1,0,0
42,42.0,0,1,10.0,1,1,1.0,3.0,1,0,2.0,0,1,2,268440.0,0.0,2,0,0,0
43,55.0,0,1,21.0,1,1,1.0,3.0,3,0,1.0,0,1,3,362580.0,0.0,1,0,0,0
44,33.0,2,0,,1,0,1.0,3.0,1,0,1.0,0,0,2,282075.0,0.0,2,0,0,0
45,35.0,0,0,13.0,0,0,1.0,3.0,3,1,1.0,0,0,3,356760.0,0.0,2,1,0,0
46,59.0,0,1,8.0,2,1,1.0,3.0,3,0,1.0,0,1,3,364980.0,0.0,2,0,0,0
47,43.0,0,1,14.0,2,1,1.0,3.0,3,0,5.0,0,1,2,350310.0,0.0,2,1,0,0
48,32.0,0,1,25.0,1,1,1.0,4.0,3,0,3.0,0,1,3,429570.0,1.0,0,0,0,0
49,47.0,1,0,15.0,2,0,1.0,3.0,0,0,1.0,0,0,1,272475.0,0.0,3,0,0,0
50,42.0,0,1,16.0,2,1,1.0,3.0,0,0,2.0,0,0,1,273840.0,0.0,3,0,0,0
51,53.0,1,0,12.0,1,1,1.0,3.0,3,0,1.0,0,0,3,372150.0,0.0,0,1,0,0
52,56.0,1,0,11.0,1,1,1.0,3.0,4,1,5.0,0,0,0,462615.0,0.0,2,1,0,0
53,33.0,0,0,11.0,1,1,1.0,3.0,3,0,5.0,0,1,3,345690.0,0.0,0,0,0,0
54,58.0,0,0,14.0,1,0,1.0,3.0,1,0,4.0,0,0,2,397245.0,0.0,0,0,0,0
55,33.0,0,1,16.0,1,0,1.0,3.0,1,0,5.0,0,1,2,297855.0,0.0,2,1,0,0
56,32.0,0,0,9.0,2,1,1.0,3.0,0,0,1.0,0,0,1,269895.0,0.0,1,1,0,0
57,50.0,0,1,16.0,1,1,1.0,3.0,3,1,5.0,1,0,3,427050.0,1.0,2,1,0,0
58,45.0,0,0,14.0,1,0,1.0,3.0,3,0,2.0,1,0,3,418080.0,0.0,0,1,0,0
59,26.0,0,1,17.0,0,1,1.0,3.0,0,0,2.0,1,1,1,264615.0,1.0,1,0,0,0
60,47.0,1,1,15.0,2,1,1.0,3.0,3,0,2.0,1,0,3,415545.0,0.0,1,0,0,0
61,47.0,0,1,10.0,0,1,1.0,3.0,0,0,1.0,1,1,1,258915.0,1.0,3,1,0,0
62,52.0,0,1,16.0,1,0,1.0,3.0,4,1,5.0,0,0,0,507870.0,0.0,1,1,0,0
63,29.0,0,1,13.0,2,1,1.0,5.0,1,0,7.0,0,0,2,303960.0,0.0,3,0,0,0
64,44.0,1,1,7.0,2,1,1.0,5.0,1,0,1.0,0,1,2,309645.0,0.0,2,0,0,0
65,54.0,0,0,12.0,2,1,2.0,4.0,3,0,2.0,0,0,3,400000.0,0.0,3,1,0,0
66,51.0,0,1,7.0,1,1,2.0,4.0,4,0,3.0,0,1,0,479610.0,0.0,2,1,0,0
67,59.0,0,0,13.0,1,1,2.0,4.0,4,0,4.0,0,0,0,463050.0,0.0,2,1,0,0
68,25.0,0,0,7.0,2,1,2.0,4.0,0,0,2.0,0,1,1,270735.0,0.0,1,0,0,0
69,29.0,0,0,15.0,1,0,2.0,4.0,0,0,5.0,0,1,1,263865.0,0.0,3,0,0,0
70,21.0,1,1,13.0,2,0,2.0,4.0,0,0,3.0,0,1,1,316770.0,1.0,2,0,0,0
71,56.0,1,0,10.0,2,1,2.0,4.0,4,0,6.0,0,0,0,400000.0,0.0,2,1,0,0
72,55.0,1,2,6.0,2,0,2.0,4.0,3,0,4.0,0,1,3,358935.0,0.0,0,1,0,0
73,57.0,0,0,8.0,2,0,2.0,4.0,0,0,2.0,0,1,1,263010.0,0.0,1,1,0,0
74,37.0,0,0,13.0,0,1,2.0,4.0,0,1,7.0,0,1,1,273900.0,1.0,3,0,0,0
75,25.0,1,0,13.0,1,1,2.0,4.0,0,0,2.0,0,1,1,257295.0,0.0,3,0,0,0
76,53.0,0,1,14.0,2,1,2.0,4.0,3,1,5.0,0,1,3,438195.0,0.0,0,1,0,0
77,35.0,0,0,8.0,2,1,2.0,4.0,0,0,2.0,0,0,1,267480.0,0.0,3,1,0,0
78,35.0,0,2,12.0,1,1,2.0,4.0,3,1,1.0,0,1,3,438210.0,0.0,3,1,0,0
79,36.0,0,0,11.0,2,0,2.0,4.0,3,0,2.0,0,1,3,371820.0,0.0,3,1,0,0
80,36.0,0,2,18.0,2,0,2.0,5.0,3,0,1.0,0,0,3,300000.0,0.0,3,0,0,0
81,38.0,1,1,5.0,1,1,2.0,4.0,3,0,5.0,0,1,3,410000.0,0.0,3,0,0,0
82,49.0,1,2,15.0,2,0,2.0,4.0,3,1,2.0,0,0,3,370000.0,0.0,2,1,0,0
83,37.0,1,0,31.0,0,0,2.0,4.0,3,0,2.0,0,0,3,393705.0,0.0,0,0,0,0
84,50.0,1,1,14.0,2,0,2.0,4.0,0,0,5.0,1,1,1,263730.0,1.0,1,0,0,0
85,51.0,1,1,10.0,1,1,2.0,4.0,3,0,3.0,1,1,3,366900.0,0.0,1,1,0,0
86,43.0,1,1,11.0,2,1,2.0,4.0,0,0,5.0,1,1,1,262560.0,1.0,3,0,0,0
87,40.0,1,1,15.0,2,0,2.0,4.0,1,0,2.0,1,0,2,437895.0,0.0,3,0,0,0
88,,1,0,9.0,0,1,1.0,3.0,0,0,1.0,0,2,1,269235.0,0.0,2,0,0,0
89,54.0,1,1,16.0,2,1,1.0,1.0,4,1,1.0,1,3,0,428610.0,0.0,2,1,0,0
90,,0,1,15.0,0,0,1.0,4.0,0,0,1.0,0,2,1,243540.0,1.0,1,0,0,0
91,26.0,0,1,17.0,1,0,1.0,3.0,0,0,2.0,0,3,1,256455.0,0.0,1,0,0,0
92,45.0,0,0,23.0,1,1,1.0,3.0,0,0,1.0,0,4,1,252360.0,0.0,2,1,0,0
93,31.0,0,2,14.0,1,0,1.0,3.0,0,0,2.0,0,2,1,260000.0,0.0,3,1,0,0
94,27.0,0,1,15.0,1,0,1.0,1.0,0,0,2.0,0,2,1,256890.0,0.0,2,1,0,0
95,40.0,1,0,11.0,1,0,1.0,2.0,1,0,1.0,0,2,2,331515.0,0.0,1,0,0,0
96,,0,0,17.0,1,0,1.0,3.0,1,0,6.0,1,3,2,270870.0,1.0,2,0,0,0
97,33.0,1,1,9.0,2,1,2.0,4.0,0,0,1.0,0,3,1,320000.0,1.0,1,1,0,0
98,20.0,1,1,35.0,2,1,2.0,4.0,0,0,3.0,0,2,1,262500.0,1.0,2,0,0,0
99,58.0,0,1,15.0,2,0,2.0,4.0,0,0,2.0,0,2,1,266790.0,0.0,3,0,0,0
100,33.0,1,0,17.0,2,0,2.0,4.0,0,1,2.0,1,2,1,271980.0,1.0,1,0,0,0
101,20.0,0,1,11.0,2,1,2.0,4.0,0,0,2.0,1,3,1,300000.0,1.0,1,1,0,0
102,32.0,1,1,28.0,2,1,2.0,4.0,0,0,5.0,1,3,1,349995.0,1.0,3,1,0,0
103,34.0,1,1,20.0,1,0,2.0,4.0,0,0,7.0,0,3,1,270405.0,1.0,3,0,0,0
104,25.0,0,1,15.0,1,0,2.0,4.0,0,0,7.0,0,2,1,295065.0,1.0,1,1,0,0
105,51.0,1,1,15.0,2,0,1.0,4.0,0,0,2.0,0,1,1,274395.0,0.0,3,1,0,0
106,40.0,0,1,7.0,1,1,1.0,4.0,4,0,5.0,0,1,0,280200.0,0.0,3,1,0,0
107,26.0,0,2,11.0,1,1,1.0,4.0,3,0,3.0,1,1,3,370000.0,1.0,2,1,0,0
108,22.0,0,1,9.0,0,1,1.0,4.0,0,0,2.0,1,1,1,254535.0,1.0,1,1,0,0
109,46.0,1,0,10.0,1,1,2.0,3.0,1,0,3.0,0,1,2,,0.0,2,0,0,0
110,21.0,1,0,9.0,2,0,2.0,3.0,0,0,3.0,0,0,1,258405.0,0.0,1,1,0,0
111,24.0,0,1,14.0,1,1,2.0,3.0,3,0,3.0,0,1,3,344400.0,1.0,1,1,0,0
112,45.0,1,1,12.0,1,1,2.0,3.0,1,0,5.0,0,1,2,330000.0,0.0,3,1,0,0
113,33.0,1,0,7.0,2,0,2.0,3.0,0,0,1.0,0,0,1,254205.0,0.0,3,1,0,0
114,33.0,0,0,16.0,1,1,2.0,3.0,1,0,2.0,0,1,2,288480.0,0.0,3,1,0,0
115,56.0,0,1,15.0,1,0,2.0,3.0,4,0,2.0,0,1,0,500000.0,0.0,2,1,0,0
116,36.0,1,0,13.0,1,0,2.0,3.0,3,0,2.0,0,1,3,500000.0,0.0,2,1,0,0
117,41.0,0,0,17.0,1,1,2.0,3.0,4,1,3.0,0,1,0,413865.0,0.0,1,1,0,0
118,50.0,1,1,6.0,2,1,2.0,3.0,4,1,1.0,0,1,0,460000.0,0.0,3,1,0,0
119,31.0,1,0,17.0,0,0,2.0,4.0,0,0,5.0,0,0,1,257340.0,0.0,1,0,0,0
120,22.0,0,2,16.0,1,0,2.0,3.0,0,0,2.0,0,0,1,255405.0,0.0,1,1,0,0
121,38.0,0,1,16.0,2,0,2.0,3.0,0,1,5.0,0,1,1,270000.0,1.0,1,1,0,0
122,38.0,0,0,18.0,2,0,1.0,3.0,0,0,5.0,0,2,1,249315.0,0.0,1,0,0,0
123,31.0,0,1,16.0,1,1,2.0,3.0,0,0,2.0,0,0,1,259680.0,0.0,3,1,0,0
124,18.0,0,1,8.0,0,1,2.0,3.0,0,0,7.0,0,1,1,242280.0,1.0,1,1,0,0
125,52.0,0,2,8.0,2,1,1.0,3.0,2,0,1.0,0,4,4,274515.0,0.0,1,0,0,0
126,45.0,0,2,9.0,0,0,1.0,3.0,0,0,4.0,0,2,1,264480.0,0.0,2,0,0,0
127,30.0,0,0,12.0,2,0,2.0,3.0,0,0,5.0,0,0,1,258390.0,0.0,3,1,0,0
128,38.0,0,1,14.0,1,1,2.0,3.0,1,0,2.0,0,1,2,260310.0,1.0,1,0,0,0
129,43.0,0,1,8.0,1,1,2.0,3.0,3,0,2.0,0,0,3,445575.0,0.0,3,1,0,0
130,43.0,1,2,16.0,2,1,2.0,3.0,3,1,2.0,0,0,3,436320.0,0.0,1,1,0,0
131,35.0,0,2,16.0,1,0,2.0,4.0,1,0,3.0,0,0,2,371775.0,0.0,2,0,0,0
132,26.0,0,0,14.0,2,0,1.0,3.0,0,0,2.0,0,3,1,267015.0,1.0,1,0,0,0
133,46.0,0,2,17.0,0,0,2.0,3.0,3,1,5.0,0,1,3,336735.0,0.0,3,1,0,0
134,52.0,1,1,17.0,2,1,2.0,3.0,3,1,2.0,0,0,3,404385.0,0.0,1,1,0,0
135,39.0,1,0,7.0,1,1,2.0,3.0,3,0,2.0,0,1,3,365130.0,0.0,3,0,0,0
136,46.0,1,1,9.0,0,0,2.0,3.0,4,1,2.0,0,1,0,483855.0,0.0,1,1,0,1
137,43.0,1,0,16.0,1,0,2.0,3.0,2,1,1.0,0,0,4,474720.0,0.0,1,0,0,0
138,46.0,1,0,13.0,2,1,2.0,3.0,0,0,4.0,0,1,1,257970.0,0.0,1,0,0,0
139,45.0,1,0,17.0,2,0,2.0,3.0,0,0,1.0,0,1,1,268350.0,0.0,1,1,0,0
140,55.0,1,0,17.0,1,0,2.0,3.0,1,0,1.0,0,1,2,400320.0,0.0,2,0,0,0
141,55.0,1,1,8.0,1,0,1.0,3.0,2,0,2.0,0,2,4,420780.0,0.0,2,1,0,0
142,50.0,0,0,13.0,1,1,1.0,3.0,3,0,1.0,0,3,1,269235.0,0.0,3,0,0,0
143,58.0,1,1,11.0,1,1,2.0,3.0,0,0,2.0,1,0,1,270540.0,0.0,1,0,0,0
144,27.0,1,1,7.0,1,0,2.0,3.0,0,0,1.0,1,1,1,258285.0,1.0,3,1,0,0
145,55.0,1,1,15.0,1,0,2.0,3.0,3,0,2.0,1,0,3,274380.0,1.0,1,0,0,0
146,36.0,0,2,14.0,2,0,2.0,3.0,4,0,4.0,1,0,0,431010.0,0.0,1,0,0,0
147,50.0,0,2,13.0,1,0,2.0,3.0,3,0,2.0,1,1,3,373845.0,0.0,0,0,0,0
148,34.0,0,1,14.0,2,1,3.0,5.0,0,0,6.0,0,0,1,,0.0,1,0,0,0
149,24.0,0,2,15.0,1,0,3.0,4.0,3,0,2.0,0,1,3,353670.0,0.0,2,1,0,0
150,53.0,1,0,14.0,1,1,3.0,4.0,4,0,3.0,0,1,0,449715.0,0.0,1,1,0,0
151,38.0,1,1,10.0,1,0,3.0,4.0,3,0,1.0,0,1,3,398475.0,0.0,3,1,0,0
152,45.0,1,0,8.0,1,0,3.0,4.0,3,0,2.0,0,1,3,390000.0,0.0,0,0,0,0
153,50.0,1,0,36.0,2,1,3.0,4.0,4,0,3.0,0,0,0,490000.0,0.0,2,1,0,1
154,38.0,1,2,14.0,2,1,3.0,4.0,0,1,2.0,0,1,1,265110.0,0.0,1,0,0,0
155,41.0,1,0,8.0,0,1,3.0,4.0,4,0,3.0,0,1,0,385905.0,0.0,1,1,0,0
156,39.0,1,0,9.0,2,0,1.0,3.0,3,0,3.0,0,1,3,411855.0,0.0,1,0,0,0
157,30.0,1,0,8.0,1,1,1.0,3.0,0,0,1.0,0,1,1,257025.0,0.0,3,1,0,0
158,27.0,0,0,8.0,2,1,1.0,3.0,0,0,2.0,0,0,1,264345.0,0.0,1,1,0,0
159,31.0,1,1,8.0,2,1,1.0,3.0,0,0,7.0,0,1,1,251850.0,1.0,1,0,0,0
160,46.0,1,0,11.0,2,1,1.0,3.0,2,0,6.0,0,1,4,467460.0,0.0,3,0,0,0
161,45.0,0,0,7.0,1,0,1.0,3.0,4,0,2.0,0,1,0,476955.0,0.0,2,0,0,0
162,52.0,0,0,16.0,2,1,1.0,3.0,0,0,4.0,0,1,1,277005.0,0.0,1,0,0,0
163,35.0,1,0,7.0,0,0,2.0,4.0,0,0,2.0,0,1,1,245340.0,0.0,1,0,0,0
164,43.0,1,0,9.0,2,0,2.0,4.0,0,0,1.0,0,1,1,278595.0,0.0,3,1,0,0
165,27.0,0,1,15.0,0,1,2.0,4.0,0,0,6.0,1,1,1,296055.0,1.0,1,0,0,0
166,36.0,1,1,8.0,1,1,2.0,4.0,0,0,2.0,0,1,1,264990.0,0.0,1,1,0,0
167,40.0,0,0,14.0,2,0,1.0,1.0,3,0,1.0,0,0,3,430470.0,0.0,2,1,0,0
168,33.0,0,1,18.0,2,1,1.0,3.0,4,0,1.0,0,0,0,342585.0,1.0,1,0,0,0
169,31.0,0,1,16.0,0,0,1.0,3.0,0,0,1.0,0,1,1,260000.0,1.0,1,0,0,0
170,31.0,0,1,14.0,1,0,1.0,3.0,1,0,2.0,0,0,2,332460.0,0.0,1,0,0,0
171,28.0,0,0,14.0,1,1,1.0,,1,0,3.0,0,1,2,300000.0,0.0,1,1,0,0
172,26.0,1,1,18.0,2,1,1.0,1.0,0,0,5.0,0,1,1,256650.0,1.0,3,0,0,0
173,,0,0,13.0,2,1,1.0,3.0,0,0,2.0,0,0,1,275160.0,0.0,3,0,0,0
174,55.0,1,0,24.0,2,1,2.0,3.0,4,0,7.0,0,1,0,428025.0,0.0,2,1,0,1
175,58.0,1,0,16.0,1,1,1.0,1.0,4,0,6.0,0,0,0,461010.0,0.0,2,1,0,0
176,31.0,0,2,16.0,2,1,1.0,3.0,0,0,2.0,0,0,1,245805.0,0.0,3,1,0,0
177,32.0,0,1,15.0,2,1,1.0,3.0,0,0,3.0,0,1,1,256545.0,1.0,1,0,0,0
178,60.0,1,0,11.0,2,1,1.0,1.0,4,1,6.0,1,0,0,400000.0,0.0,2,1,0,0
179,33.0,1,1,23.0,2,0,1.0,1.0,0,0,2.0,1,0,1,260445.0,0.0,3,0,0,0
180,27.0,0,1,6.0,0,1,1.0,3.0,3,0,2.0,1,1,3,440280.0,1.0,1,0,0,0
181,40.0,1,1,12.0,1,1,2.0,4.0,4,0,2.0,0,1,0,481905.0,0.0,1,1,0,0
